#NAME?	#NAME?
(1) (Japanese) maple	(1) (Japanischer) Ahorn
The dog sleeps on my bed.	Der Hund schläft auf meinem Bett.
The dog wagged its tail.	Der Hund wedelte mit dem Schwanz.
The door is locked from inside.	Die Tür ist von innen verschlossen.
The download is taking too long.	Der Download dauert zu lange.
The dress fits her waist.	Das Kleid passt zu ihrer Taille.
The dress has an intricate pattern.	Das Kleid hat ein aufwendiges Muster.
The driver stopped at the red light.	Der Fahrer hielt an der roten Ampel.
The duck waddled across the grass.	Die Ente watschelte über das Gras.
The eagle has very sharp vision.	Der Adler hat eine sehr scharfe Sicht.
The earlier of two past actions: had + V3. When I arrived, the train had already left.	Die frühere von zwei vergangenen Aktionen: hatte + V3. Als ich ankam, war der Zug bereits abgefahren.
The earth orbits around the sun.	Die Erde kreist um die Sonne.
The elevator is out of order.	Der Aufzug ist außer Betrieb.
The ending of the movie was ambiguous.	Das Ende des Films war nicht eindeutig.
The entrance was blocked by snow.	Der Eingang war durch Schnee blockiert.
The error occurred and subsequently crashed.	Der Fehler trat auf und stürzte anschließend ab.
The essay lacks overall coherence.	Dem Aufsatz mangelt es insgesamt an Kohärenz.
The evening was very quiet.	Der Abend war sehr ruhig.
The event had great historical significance.	Das Ereignis hatte große historische Bedeutung.
The everyday heart of spoken English.	Das alltägliche Herzstück des gesprochenen Englisch.
The evidence against him is irrefutable.	Die Beweise gegen ihn sind unwiderlegbar.
The evidence is very tenuous.	Die Beweise sind sehr dürftig.
The evidence provided unequivocal proof.	Die Beweise lieferten einen eindeutigen Beweis.
The exam was very difficult.	Die Prüfung war sehr schwierig.
The farmer feeds the cows.	Der Bauer füttert die Kühe.
The farmer grows organic corn.	Der Bauer baut Bio-Mais an.
The feasibility study is complete.	Die Machbarkeitsstudie ist abgeschlossen.
The firefighter saved the cat.	Der Feuerwehrmann rettete die Katze.
The fish market is busy.	Der Fischmarkt ist voll.
The fisherman cast his net.	Der Fischer warf sein Netz aus.
The fisherman caught a huge bass.	Der Fischer hat einen riesigen Barsch gefangen.
The flat is below my office.	Die Wohnung liegt unterhalb meines Büros.
The flight attendant served drinks.	Die Flugbegleiterin servierte Getränke.
The floor is made of wood.	Der Boden ist aus Holz.
The fog covered the mountain.	Der Nebel bedeckte den Berg.
The forecast says sunny then rain.	Die Wettervorhersage sagt: sonnig, dann regnen.
The forest is very quiet here.	Der Wald ist hier sehr ruhig.
The fox is very clever.	Der Fuchs ist sehr schlau.
The frog sat on a leaf.	Der Frosch saß auf einem Blatt.
The gain was marginal.	Der Gewinn war marginal.
The game ends at midnight.	Das Spiel endet um Mitternacht.
The garden looks beautiful today.	Der Garten sieht heute wunderschön aus.
The garden needs more water.	Der Garten braucht mehr Wasser.
The gift shop sells cards.	Der Geschenkeladen verkauft Karten.
The global economy is struggling now.	Die Weltwirtschaft hat derzeit Probleme.
The goat is eating the grass.	Die Ziege frisst das Gras.
The golf course is closed today.	Der Golfplatz ist heute geschlossen.
The government fights child poverty.	Die Regierung bekämpft Kinderarmut.
The government is facing a financial crisis.	Die Regierung steht vor einer Finanzkrise.
The grandchild is visiting today.	Das Enkelkind ist heute zu Besuch.
The grass needs to be cut.	Das Gras muss gemäht werden.
The greengrocer has fresh apples today.	Der Gemüsehändler hat heute frische Äpfel.
The guide showed us the castle.	Der Führer zeigte uns das Schloss.
The hairdresser cut my hair short.	Der Friseur hat mir die Haare kurz geschnitten.
The headline was very shocking.	Die Schlagzeile war sehr schockierend.
The highest level of polite business Japanese.	Höfliches Geschäftsjapanisch auf höchstem Niveau.
The hikers reached a high plateau.	Die Wanderer erreichten ein Hochplateau.
The honey bee is yellow.	Die Honigbiene ist gelb.
The horse ran very fast.	Das Pferd lief sehr schnell.
The hospital is nearby.	Das Krankenhaus ist in der Nähe.
The host welcomed the guests.	Der Gastgeber begrüßte die Gäste.
The hotel has a pool.	Das Hotel verfügt über einen Pool.
The hotel staff is professional.	Das Hotelpersonal ist professionell.
The hotel staff were helpful.	Das Hotelpersonal war hilfsbereit.
The house is hidden among the trees.	Das Haus liegt versteckt zwischen den Bäumen.
The house is on a hill.	Das Haus liegt auf einem Hügel.
The house suffered substantial damage.	Das Haus wurde erheblich beschädigt.
The house was finally quiet	Im Haus war es endlich ruhig
The humble & honorific vocabulary of business Japanese.	Das bescheidene und ehrenvolle Vokabular des Geschäftsjapaners.
The humidity is very high.	Die Luftfeuchtigkeit ist sehr hoch.
The hypothesis needs more proof.	Die Hypothese bedarf weiterer Beweise.
The ice cream is melting fast.	Das Eis schmilzt schnell.
The instructions were too ambiguous.	Die Anweisungen waren zu zweideutig.
The internet is down again today.	Das Internet ist heute wieder down.
The internet is very slow today.	Das Internet ist heute sehr langsam.
The internet, apps and everyday devices.	Das Internet, Apps und Alltagsgeräte.
The internet, data, reports and translation.	Das Internet, Daten, Berichte und Übersetzungen.
The interview lasted for one hour.	Das Interview dauerte eine Stunde.
The island is famous for its beaches.	Die Insel ist berühmt für ihre Strände.
The journey took five hours.	Die Fahrt dauerte fünf Stunden.
The judge ensured justice.	Der Richter sorgte für Gerechtigkeit.
The judiciary handles the appeals.	Über die Berufungen entscheidet die Justiz.
The judiciary is independent here.	Die Justiz ist hier unabhängig.
The jury reached a verdict.	Die Jury kam zu einem Urteil.
The keys fell under the chair.	Die Schlüssel fielen unter den Stuhl.
The kids are getting bored.	Den Kindern wird langweilig.
The kids are playing in the park.	Die Kinder spielen im Park.
The kimono has floral patterns.	Der Kimono hat florale Muster.
The kitchen is very clean.	Die Küche ist sehr sauber.
The lake is made of ice.	Der See besteht aus Eis.
The lake is very calm.	Der See ist sehr ruhig.
The lamp is beside the bed.	Die Lampe steht neben dem Bett.
The land levels out into a plateau.	Das Land flacht zu einem Plateau ab.
The law needs a small amendment.	Das Gesetz bedarf einer kleinen Änderung.
The lawyer gave some advice.	Der Anwalt gab einige Ratschläge.
The lawyer will refute the evidence.	Der Anwalt wird die Beweise widerlegen.
The library is a great resource.	Die Bibliothek ist eine großartige Ressource.
The library is very quiet.	In der Bibliothek ist es sehr ruhig.
The light is too bright.	Das Licht ist zu hell.
The lion is very loud.	Der Löwe ist sehr laut.
The local greengrocer is very friendly.	Der örtliche Gemüsehändler ist sehr freundlich.
The local news is boring.	Die lokalen Nachrichten sind langweilig.
The loud noise scared the baby.	Das laute Geräusch machte dem Baby Angst.
The magnitude was quite large.	Das Ausmaß war ziemlich groß.
The manager is in a meeting.	Der Manager ist in einer Besprechung.
The map helps delineate the border.	Die Karte hilft dabei, die Grenze abzugrenzen.
The meeting starts at eight o'clock.	Das Treffen beginnt um acht Uhr.
The meeting starts at ten.	Das Treffen beginnt um zehn.
The milk has gone sour.	Die Milch ist sauer geworden.
The mirror is cracked.	Der Spiegel ist gesprungen.
The monkey ate a banana.	Der Affe hat eine Banane gegessen.
The moon is very bright tonight.	Der Mond ist heute Nacht sehr hell.
The moon orbits the Earth.	Der Mond umkreist die Erde.
The morning air is fresh.	Die Morgenluft ist frisch.
The most frequent verbs — what you do all day long.	Die häufigsten Verben – was Sie den ganzen Tag tun.
The most important words first — say hello, thank, and ask politely.	Die wichtigsten Worte zuerst: Hallo sagen, danken und höflich fragen.
The most useful verbs in English.	Die nützlichsten Verben im Englischen.
The mountain is covered in snow.	Der Berg ist mit Schnee bedeckt.
The mountain peak is snowy.	Der Berggipfel ist schneebedeckt.
The mouse ate the cheese.	Die Maus hat den Käse gefressen.
The movie has a complex plot.	Der Film hat eine komplexe Handlung.
The movie theater is crowded.	Das Kino ist überfüllt.
The movie was not very interesting.	Der Film war nicht sehr interessant.
The movie was very short.	Der Film war sehr kurz.
The museum has a huge sculpture.	Das Museum verfügt über eine riesige Skulptur.
The museum is closed today.	Das Museum ist heute geschlossen.
The music festival starts tomorrow.	Das Musikfestival beginnt morgen.
The music is too loud.	Die Musik ist zu laut.
The musician played the violin.	Der Musiker spielte Geige.
The nation fought for its sovereignty.	Die Nation kämpfte um ihre Souveränität.
The negotiation failed yesterday.	Die Verhandlungen scheiterten gestern.
The negotiation took three hours.	Die Verhandlung dauerte drei Stunden.
The neighbour's dog barks loud.	Der Hund des Nachbarn bellt laut.
The new constitution was signed today.	Die neue Verfassung wurde heute unterzeichnet.
The new immigration laws are confusing.	Die neuen Einwanderungsgesetze sind verwirrend.
The new legislation is strict.	Die neue Gesetzgebung ist streng.
The news is broadcast live.	Die Nachrichten werden live übertragen.
The news was shocking.	Die Nachricht war schockierend.
The night is very dark.	Die Nacht ist sehr dunkel.
The night town is very bright.	Die Nachtstadt ist sehr hell.
The northern lights are a rare phenomenon.	Das Nordlicht ist ein seltenes Phänomen.
The notion seems impractical.	Die Vorstellung erscheint unpraktisch.
The number XKEYX is written on the board.	Auf der Tafel steht die Nummer XKEYX.
The nurse helped the patient.	Die Krankenschwester half dem Patienten.
The office worker felt tired.	Der Büroangestellte fühlte sich müde.
The other day I saw him.	Neulich habe ich ihn gesehen.
The package will arrive within a week.	Das Paket kommt innerhalb einer Woche an.
The pain went away quickly.	Der Schmerz verschwand schnell.
The painter finished the living room.	Der Maler hat das Wohnzimmer fertiggestellt.
The palm of my hand itches.	Meine Handfläche juckt.
The paradigm shifted after the war.	Nach dem Krieg änderte sich das Paradigma.
The park is too far.	Der Park ist zu weit.
The party ended at midnight.	Die Party endete um Mitternacht.
The party has a beach theme.	Die Party steht unter dem Motto Strand.
The party was very lively.	Die Party war sehr lebhaft.
The party's core doctrine is changing.	Die Kerndoktrin der Partei verändert sich.
The path became too narrow.	Der Weg wurde zu schmal.
The penguin waddles on the ice.	Der Pinguin watschelt auf dem Eis.
The people closest to you.	Die Menschen, die Ihnen am nächsten stehen.
The person who called is my friend.	Die Person, die angerufen hat, ist mein Freund.
The phone is in its case.	Das Telefon ist in seiner Hülle.
The photographer took a great shot.	Der Fotograf hat eine tolle Aufnahme gemacht.
The pig is eating an apple.	Das Schwein isst einen Apfel.
The pilot landed the plane safely.	Der Pilot landete das Flugzeug sicher.
The plan changed in light of the rain.	Aufgrund des Regens änderte sich der Plan.
The plan is finally coherent.	Der Plan ist endlich schlüssig.
The plane departs at six o'clock.	Das Flugzeug startet um sechs Uhr.
The plane flew over the city.	Das Flugzeug flog über die Stadt.
The police found new evidence.	Die Polizei fand neue Beweise.
The police officer stopped the car.	Der Polizist stoppte das Auto.
The police station is on Main Street.	Die Polizeistation befindet sich in der Main Street.
The political campaign starts tomorrow.	Der politische Wahlkampf beginnt morgen.
The population continues to decline.	Die Bevölkerung nimmt weiter ab.
The post office closes at five.	Die Post schließt um fünf.
The prevalence of flu is rising.	Die Grippeprävalenz nimmt zu.
The price of gas is high.	Der Gaspreis ist hoch.
The price rose, and budgets changed accordingly.	Der Preis stieg und die Budgets änderten sich entsprechend.
The price will inevitably go up.	Der Preis wird zwangsläufig steigen.
The prices are too high.	Die Preise sind zu hoch.
The professor gave a long lecture.	Der Professor hielt einen langen Vortrag.
The programmer fixed the bug	Der Programmierer hat den Fehler behoben
The progress is slow, albeit steady.	Der Fortschritt ist langsam, wenn auch stetig.
The project ends next month.	Das Projekt endet nächsten Monat.
The project took three months	Das Projekt dauerte drei Monate
The prosecution called a new witness	Die Staatsanwaltschaft rief einen neuen Zeugen auf
The prosecution failed to prove it	Der Anklage gelang es nicht, dies zu beweisen
The rabbit ate a carrot	Das Kaninchen hat eine Karotte gefressen
The railway runs through the city	Die Eisenbahn fährt durch die Stadt
The railway station is crowded	Der Bahnhof ist überfüllt
The rain stopped an hour ago	Der Regen hat vor einer Stunde aufgehört
The rationale behind the decision was simple	Der Grund für die Entscheidung war einfach
The recovery was a gradual process.	Die Erholung verlief schrittweise.
The red one is bright; in contrast, the blue is dark.	Das Rote ist hell; im Gegensatz dazu ist das Blau dunkel.
The referendum changed the law.	Durch das Referendum wurde das Gesetz geändert.
The refrigerator is making a loud noise.	Der Kühlschrank macht ein lautes Geräusch.
The report is due this Friday.	Der Bericht soll diesen Freitag vorliegen.
The report was very comprehensive.	Der Bericht war sehr umfassend.
The reporter asked a tough question.	Der Reporter stellte eine schwierige Frage.
The reporter is covering the story.	Der Reporter berichtet über die Geschichte.
The restaurant is closed on Mondays.	Das Restaurant ist montags geschlossen.
